,acc,norm_edit_dis,fps,model,dataset,precision,recall,hmean
0,0.7865354229180147,0.8569659558801843,3747.2887825738153,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_1___default_config___finetune/trained_model/iter_epoch_7,/home/dataset_labels/rec_08_02_90_k_fold_5_1/train_label.txt,,,
0,0.7747911363786479,0.8523672122428988,2737.9134539171337,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_1___default_config___finetune/trained_model/iter_epoch_7,/home/dataset_labels/rec_08_02_90_k_fold_5_1/val_label.txt,,,
0,0.7847738044086275,0.8580824012019946,4209.1065432061305,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_2___default_config___finetune/trained_model/iter_epoch_7,/home/dataset_labels/rec_08_02_90_k_fold_5_2/train_label.txt,,,
0,0.7695604789178638,0.8466683670594541,2958.214538592917,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_2___default_config___finetune/trained_model/iter_epoch_7,/home/dataset_labels/rec_08_02_90_k_fold_5_2/val_label.txt,,,
0,0.7804514827051828,0.8557728485850322,4144.516586045881,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_3___default_config___finetune/trained_model/iter_epoch_7,/home/dataset_labels/rec_08_02_90_k_fold_5_3/train_label.txt,,,
0,0.7559752991238828,0.8415098259445316,2547.0745367432914,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_3___default_config___finetune/trained_model/iter_epoch_7,/home/dataset_labels/rec_08_02_90_k_fold_5_3/val_label.txt,,,
0,0.7872073804937603,0.8586055334986367,4137.992714977234,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_4___default_config___finetune/trained_model/iter_epoch_7,/home/dataset_labels/rec_08_02_90_k_fold_5_4/train_label.txt,,,
0,0.7632401011527497,0.8449752268877039,3291.927861371659,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_4___default_config___finetune/trained_model/iter_epoch_7,/home/dataset_labels/rec_08_02_90_k_fold_5_4/val_label.txt,,,
0,0.7854703957890536,0.8583955048619241,4036.092967459712,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_5___default_config___finetune/trained_model/iter_epoch_7,/home/dataset_labels/rec_08_02_90_k_fold_5_5/train_label.txt,,,
0,0.7662696101349,0.8473295204920498,2926.1308387460954,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_5___default_config___finetune/trained_model/iter_epoch_7,/home/dataset_labels/rec_08_02_90_k_fold_5_5/val_label.txt,,,
0,0.7886784227541763,0.8607974478550822,4188.512210237592,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_1___default_config___finetune/trained_model/iter_epoch_8,/home/dataset_labels/rec_08_02_90_k_fold_5_1/train_label.txt,,,
0,0.7731928799322972,0.8547379087037728,2849.636719234899,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_1___default_config___finetune/trained_model/iter_epoch_8,/home/dataset_labels/rec_08_02_90_k_fold_5_1/val_label.txt,,,
0,0.7924377529752397,0.8644617199814044,3877.915258761487,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_2___default_config___finetune/trained_model/iter_epoch_8,/home/dataset_labels/rec_08_02_90_k_fold_5_2/train_label.txt,,,
0,0.7726116957699879,0.8501431019519337,2896.19681615264,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_2___default_config___finetune/trained_model/iter_epoch_8,/home/dataset_labels/rec_08_02_90_k_fold_5_2/val_label.txt,,,
0,0.7929281003953783,0.8634196671300225,4047.0357194845183,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_3___default_config___finetune/trained_model/iter_epoch_8,/home/dataset_labels/rec_08_02_90_k_fold_5_3/train_label.txt,,,
0,0.7679622224715131,0.8484521314835864,3076.176848243274,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_3___default_config___finetune/trained_model/iter_epoch_8,/home/dataset_labels/rec_08_02_90_k_fold_5_3/val_label.txt,,,
0,0.793654541017806,0.8626552165593527,3906.1854549007608,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_4___default_config___finetune/trained_model/iter_epoch_8,/home/dataset_labels/rec_08_02_90_k_fold_5_4/train_label.txt,,,
0,0.7690519427758431,0.8495812990621698,2582.8910777766373,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_4___default_config___finetune/trained_model/iter_epoch_8,/home/dataset_labels/rec_08_02_90_k_fold_5_4/val_label.txt,,,
0,0.7887032326936608,0.8620486259158529,4008.819086195649,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_5___default_config___finetune/trained_model/iter_epoch_8,/home/dataset_labels/rec_08_02_90_k_fold_5_5/train_label.txt,,,
0,0.768811736803594,0.8497815769761355,2859.7929008596784,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_5___default_config___finetune/trained_model/iter_epoch_8,/home/dataset_labels/rec_08_02_90_k_fold_5_5/val_label.txt,,,
0,0.7973230661610659,0.8663746098575068,4072.6214266466623,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_1___default_config___finetune/trained_model/iter_epoch_9,/home/dataset_labels/rec_08_02_90_k_fold_5_1/train_label.txt,,,
0,0.7831456587118448,0.8591906977083579,2311.754625473701,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_1___default_config___finetune/trained_model/iter_epoch_9,/home/dataset_labels/rec_08_02_90_k_fold_5_1/val_label.txt,,,
0,0.7991936507638171,0.8683716468811049,4091.914653947359,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_2___default_config___finetune/trained_model/iter_epoch_9,/home/dataset_labels/rec_08_02_90_k_fold_5_2/train_label.txt,,,
0,0.7799491458191434,0.854752535780685,2730.896705820595,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_2___default_config___finetune/trained_model/iter_epoch_9,/home/dataset_labels/rec_08_02_90_k_fold_5_2/val_label.txt,,,
0,0.7995023880283488,0.8688133558802041,4155.575183407738,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_3___default_config___finetune/trained_model/iter_epoch_9,/home/dataset_labels/rec_08_02_90_k_fold_5_3/train_label.txt,,,
0,0.7716672715062352,0.8519056860803875,3018.5581621188603,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_3___default_config___finetune/trained_model/iter_epoch_9,/home/dataset_labels/rec_08_02_90_k_fold_5_3/val_label.txt,,,
0,0.7998656083395627,0.8679462124523575,4011.566275393374,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_4___default_config___finetune/trained_model/iter_epoch_9,/home/dataset_labels/rec_08_02_90_k_fold_5_4/train_label.txt,,,
0,0.7708681432830599,0.8527275000357255,2552.917171527436,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_4___default_config___finetune/trained_model/iter_epoch_9,/home/dataset_labels/rec_08_02_90_k_fold_5_4/val_label.txt,,,
0,0.7999273518343757,0.868722533241926,3944.811913108169,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_5___default_config___finetune/trained_model/iter_epoch_9,/home/dataset_labels/rec_08_02_90_k_fold_5_5/train_label.txt,,,
0,0.7779633928108923,0.8558546350712208,3122.9265307928035,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_5___default_config___finetune/trained_model/iter_epoch_9,/home/dataset_labels/rec_08_02_90_k_fold_5_5/val_label.txt,,,
0,0.8031345911404872,0.8702587171563148,4445.044022728275,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_1___default_config___finetune/trained_model/iter_epoch_10,/home/dataset_labels/rec_08_02_90_k_fold_5_1/train_label.txt,,,
0,0.7844533230770409,0.8621101923456734,2530.636967572992,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_1___default_config___finetune/trained_model/iter_epoch_10,/home/dataset_labels/rec_08_02_90_k_fold_5_1/val_label.txt,,,
0,0.8030074640315624,0.8722356359767625,4193.361344737389,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_2___default_config___finetune/trained_model/iter_epoch_10,/home/dataset_labels/rec_08_02_90_k_fold_5_2/train_label.txt,,,
0,0.7832183067321334,0.8577513055843957,3034.5781696479607,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_2___default_config___finetune/trained_model/iter_epoch_10,/home/dataset_labels/rec_08_02_90_k_fold_5_2/val_label.txt,,,
0,0.8051867858988455,0.8726363573790364,4190.429015625418,/home/output/rec___korean_PP-OCRv3_rec___rec_08_02_90_k_fold_5_3___default_config___finetune/trained_model/iter_epoch_10,/home/dataset_labels/rec_08_02_90_k_fold_5_3/train_label.txt,,,
